	text_clean	Stance	user.name	
77	Era il 1998 quando Andrew Wakefield fabbricava la bufala a cui purtroppo credono ancora oggi in molti: sosteneva che esistesse una correlazione tra la somministrazione del vaccino trivalente MPR (morbillo, parotite, rosolia) e l'insorgenza dell’autismo. Come finì? 	1	Marco 🇮🇹🇪🇺 🕊📚🍃	
78	I casi sono molteplici (come donne incinte, immunodepressi) ma per restare al morbillo vi faccio un esempio concreto.  La prima dose di vaccino MPR (che protegge, tra gli altri, dal morbillo) viene fatto tra i 13 ed i 15 mesi di età.  4/n	4	Diabolicus23	
79	Perché nessuno si oppone al vaccino obbligato MPR (morbillo, parotite, rosolia) ai vostri neonati, se consideriamo che il morbillo ha fatto 13 morti in 3 anni in tutta Italia? E se nascondessero lì la sostanza che si attiva col 5G e ammazza tutti?	3	Devis Zanaga	
80	esperti sul 💉 MPR Falso Mito  E’ un mito comune che sia meglio acquisire l’immunità dalla malattia piuttosto che dalla vaccinazione. Verità Questa convinzione errata sembra essere basata sulla falsa assunzione che la vaccinazione non conferisca un’immunità a lungo termine [3].	1	talentedMediocrity	
81	"Ancora la STRONZATA degli anticorpi Ritwittata dalla nostra sospesa preferita Perché si sa che dopo 10 anni dal mpr non hai più anticorpi per il morbillo, ma nel caso venga a contatto tu "" siringato"" non lo prendi #radiazione #vaccini "	5	Davide Hauner 🇪🇺	
82	"...Lo studio era firmato dallo stesso Wakefield e 11 coautori, in cui venivano correlati il vaccino MPR e lo sviluppo di disturbi dello spettro autistico. Wakefield non ha mai rinnegato la sua ricerca. Oggi una sentenza afferma l'esistenza di un ""nesso causuale"" / #medicieretici"	3	Barbara Raval 🐱 🇮🇹 💙 🐸	
83	"Tampone negativo pure lui, aveva fatto un vaccino (non so se mpr o richiamo esavalente) circa due settimane prima; la moglie/mamma era l'unica ancora in salute ma va a fare il #vaccinoCovid e la notte si alza la febbre, tosse, debolezza👉 influenza. Tampone negativo"	5	Ain ✨💛✨	
84	avete qualche informazione o articolo in merito al vaccino per il covid?   vi prego è importante, l’università ci sta chiedendo la partecipazione alla prima dose, essendo un soggetto allergico e avendo avuto una bruttissima reazione all’MPR da piccola vorrei avere info affidabili	2	alice	
85	Il vaccino contro il morbillo potrebbe proteggere dai sintomi più gravi della covid. Il vaccino MPR (morbillo, parotite, rosolia) potrebbe attenuare l'infiammazione eccessiva nelle forme gravi di covid: test clinici diranno se è vero.  	4	S. @-M.	
86	"Il problema ""politico"" è che nessun ministro della sanità si sognerebbe di bloccare altri vaccini (MPR, HPV, meningite ecc.) perchè non sono a #RischioZero per tenere a bada il popolino (o per altri motivi tipo ""l'ha fatto la Germaniah!""). Draghi è ora del benservito 😌"	5	Rosikone	
87	Andrew Wakefield il criminale che ha dato il via ai no vax di mezzo mondo con le sue fraudolenti ricerche che collegavano il vaccino trivalente MPR con l’autismo. Entra a pieno titolo nel pantheon dei peggiori balordi della storia umana. 	1	Simba |	
88	"Significa che più aumentano i nuovi vaccinati, più si rafforza lo schermo di protezione attorno a chi, per motivi di età (es. &lt;12 mesi per MPR) o di immunosoppressione (es. chemioterapia o immunodeficit primari), non ha ancora ricevuto o non può ricevere il vaccino."	1	注释	
89	"Ogni tanto leggo che il vaccino anticovid non sarebbe un vaccino ma un ""siero"" ecc. ecc.... ""se fosse davvero un vaccino me lo farei"" Allora il vaccino MPR (consolidato da decenni) lo fai ""no"" Ma un minimo, infinitesimo e microscopico uso della logica? Non pretendo altro. Eh."	1	Metrodoro il Teorematico	
90	La maggior parte delle reazioni avverse sono lievi e si presentano generalmente entro un giorno o due dall’inoculazione(salvo il vaccino MPR e MPRV in cui la febbre e altri sintomi sistemici possono presentarsi da 5 a 12 giorni dopo la vaccinazione), si risolvono rapidamente e	4	leta🌿	
91	Volete ricordare a Bassetti che il vaccino mpr è  stato testato da decenni e si distribuisce già  da oltre 30 ai bambini in età  scolastica? Cosa c'entra paragonarlo  al nuovissimo vax mrna  ancora in fase di sperimentazione e distribuito per far fronte ad un'emergenza?#inonda 	1	Karma 👱	
92	La Dr.ssa Judy Mikovits, biochimica e biologa molecolare, afferma in questo video che già dal 1994 il CDC e l’OMS sapevano della presenza di retrovirus nel vaccino trivalente MPR. Ciò perché vi è l’enzima trascrittasi inversa presente solo nei retrovirus.  	3	Liliana Colombo ⭐⭐⭐⭐⭐	
93	Vaccino MPR. Primo vaccino contro il morbillo 1963 (con la “tecnologia” di quel tempo). Il morbillo faceva morire 2 milioni di bambini all’anno. Sono sicura che i novax l’abbiano fatto fare ai loro bimbi. La scienza lì va bene, per il COVID no. Mah!  	1	Simona ♍️🍀🌻🌹	
94	Policlinico città emiliana: bimbo di 13 mesi deve essere ricoverato per convulsioni e febbre post vaccino MPR: se non fa tampone a lui e alla madre(che aveva fatto 3gg prima al lavoro e negativo) non lo ricoverano.Perciò fatto tampone (bimbo terrorizzato già da casa visto..1	3	ale Macc	
95	Auguri a Bodgan oggi sono 24 anni❤  Danneggiato da vaccino a 7 anni (richiamo MPR), la sua mamma che ho conosciuto, è una forza della natura e ha anche scritto un libro di ricette per raccogliere fondi, le cure sono costose, se volete info scrivetemi. 	3	Angy Cocco	
96	Nel 1998 l'ex medico britannico Andrew Wakefield mette in relazione il #vaccino trivalente MPR e la comparsa di #autismo e malattie intestinali. Gli studi sono stati smentiti, ma il messaggio #noVax si è diffuso. La guerra dei vaccini, #StaseraInTv su History, canale 407 di Sky. 	1	historyita	
97	Il tasso di trasmissibilità (Rzero) del #coronavirus  è 2,5. Quello del morbillo (che causa esiti ben più gravi) è 15.  Il primo vaccino contro il morbillo è del 1963 (il trivalente MPR è del 1971).  Non ricordo casi di isteria di massa prima degli anni '60  #coronavirusitalia	1	fastidio	
98	Il tasso di trasmissibilità (Rzero) del #coranavirusitalia è 2,5. Quello del morbillo (che può causare effetti ben più gravi) è 15.  Il primo vaccino contro il morbillo è del 1963 (quello trivalente MPR è del 1971).  Non ricordo casi di isteria di massa prima degli anni '60	1	fastidio	
99	Più ti vaccini meno ti ammali di Covid. Pare questo lo studio del Centro Cardiologico Monzino di Milano. Per quale vaccino? Semplicemente tutti. Antinfluenzale, MPR, HPV ecc ecc. Che poi più che uno studio è un ipotesi che necessita di ulteriori studi ad hoc per confermarlo. 	4	Ozymandias	
